,Name,benefit 1,Benefit 2,Benefit 3,Benefit 4,Benefit 5,Benefit 6
0,MoneyBack+ Credit Card,"10X CashPoints on Amazon, BigBasket, Flipkart, Reliance Smart SuperStore & Swiggy",5X CashPoints on EMI spends at merchant locations,"2 CashPoints on all other spends ( Excluding fuel, Wallets loads )",Gift vouchers worth upto ₹2000 annually,,
1,Millennia Credit Card,"5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato",1% cashback on all other spends (except Fuel) including EMI & Wallet transactions,"₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter",8 Complimentary Domestic Airport Lounge access annually,,
2,IndianOil HDFC Bank Credit Card,Earn up to 50 Liters of Free fuel annually,"Earn 5% of your spends as Fuel Points at IndianOil outlets, Groceries and Bill Payments.",Earn 1 Fuel Point for every Rs. 150 spent on all other purchases,Enjoy 1% Fuel Surcharge waiver,,
3,Regalia Gold Credit Card,Complimentary Club Vistara Silver Tier and MMT Black Elite membership as Welcome benefits.,"₹ 1,500 worth vouchers on quarterly spends of Rs. 1.5 lakh","₹ 5,000 worth flight vouchers on annual spends of Rs. 5 lakh and Rs. 7.5 lakhs.","5X Reward Points on spends at Marks & Spencer, Myntra, Nykaa & Reliance Digital!",,
4,IRCTC HDFC Bank Credit Card,5 Reward Point for every INR 100 spent on IRCTC ticketing website and Rail Connect App.,1 Reward Point for every INR 100 spent on all other spends*.,Additional 5% cashback on train ticket bookings via HDFC Bank SmartBuy.,8 complimentary access to select IRCTC Executive Lounge every year (2 per quarter),"Gift voucher worth INR 500 on quarterly spends of INR 30,000.",
5,Tata Neu Plus HDFC Bank Credit Card,2% back as NeuCoins on Tata Neu and partner Tata Brand Spends,"Additional 5% back as NeuCoins on Tata Neu Spends, post registering for Tata NeuPass",1% back as NeuCoins on other spends,"1 NeuCoin = ₹1, redeemable on Tata Neu App",4 Complimentary Domestic Airport Lounge Access,
6,Tata Neu Infinity HDFC Bank Credit Card,5% back as NeuCoins on Tata Neu and partner Tata Brand Spends,"Additional 5% back as NeuCoins on Tata Neu Spends, post registering for Tata NeuPass",1.5% back as NeuCoins on other spends,"1 NeuCoin = ₹1, redeemable on Tata Neu App",8 Complimentary Domestic and 4 Complimentary International Airport Lounge Access,
7,HDFC Bank UPI RuPay Credit Card,"3% Cashpoints on Groceries, SuperMarket & Dining spends & all PayZapp transactions. (Maximum of 500 Points can be earned in a calendar month)",2% Cashpoints on Utility spends (Maximum of 500 Points can be earned in a calendar month),"1% Cashpoints on other spends (Excluding Rent, Wallet loads, EMI, Fuel & Government categories) (Maximum of 500 Points can be earned in a calendar month)",,,
8,INFINIA Metal Edition,Complimentary Club Marriott membership for first year,Complimentary nights & weekend buffet at participating ITC hotels,Unlimited Complimentary golf games at leading courses across India and select courses across the world,5 Reward Points for every ₹ 150 spent,Global Personal Concierge -24 X 7,
9,Diners Club Black Credit Card,"Complimentary Annual memberships of Club Marriott, Forbes, Amazon Prime,  Swiggy One, MMT BLACK and Times Prime","Complimentary Ola | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 80,000 every month",5 Reward Points for every Rs 150 spent,Upto 10X Reward Points via SmartBuy,Complimentary Golf games across the finest courses in the world,Unlimited Complimentary Airport Lounge Access
10,Regalia Gold Credit Card,Complimentary Club Vistara Silver Tier and MMT Black Elite membership as Welcome benefits.,"₹ 1,500 worth vouchers on quarterly spends of Rs. 1.5 lakh","₹ 5,000 worth flight vouchers on annual spends of Rs. 5 lakh and Rs. 7.5 lakhs.","5X Reward Points on spends at Marks & Spencer, Myntra, Nykaa & Reliance Digital!",,
11,Millennia Credit Card,"5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato",1% cashback on all other spends (except Fuel) including EMI & Wallet transactions,"₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter",8 Complimentary Domestic Airport Lounge access annually,,
12,MoneyBack+ Credit Card,"10X CashPoints on Amazon, BigBasket, Flipkart, Reliance Smart SuperStore & Swiggy",5X CashPoints on EMI spends at merchant locations,"2 CashPoints on all other spends ( Excluding fuel, Wallets loads )",Gift vouchers worth upto ₹2000 annually,,
13,Freedom Credit Card,"Earn 10X CashPoints on your favourite merchants ( Big Basket, BookMyshow, OYO, Swiggy & Uber )",Earn 5X CashPoints on EMI spends at merchant locations,"Earn 1 CashPoint per every Rs.150  on other spends ( Excluding fuel, Wallets loads )",Interest Rate of just 0.99% for first 90 days on retail/non-EMI spends,,
14,Tata Neu Infinity HDFC Bank Credit Card,5% back as NeuCoins on Tata Neu and partner Tata Brand Spends,"Additional 5% back as NeuCoins on Tata Neu Spends, post registering for Tata NeuPass",1.5% back as NeuCoins on other spends,"1 NeuCoin = ₹1, redeemable on Tata Neu App",8 Complimentary Domestic and 4 Complimentary International Airport Lounge Access,
15,Tata Neu Plus HDFC Bank Credit Card,2% back as NeuCoins on Tata Neu and partner Tata Brand Spends,"Additional 5% back as NeuCoins on Tata Neu Spends, post registering for Tata NeuPass",1% back as NeuCoins on other spends,"1 NeuCoin = ₹1, redeemable on Tata Neu App",4 Complimentary Domestic Airport Lounge Access,
16,Shoppers Stop HDFC Bank Credit Card,Life Time free card,Welcome Voucher worth ₹500,Earn 6 Shoppers Shop Points on Shoppers Stop private label brands,Earn 2 Shoppers Shop Points on all other Shoppers Stop brands & other category spends,"Earn additional 2,000 Shoppers Shop Points annually",
17,Shoppers Stop Black HDFC Bank Credit Card,"Welcome Voucher worth ₹1,500",Complimentary First Citizen BLACK membership,Earn 20 Shoppers Shop Points on Shoppers Stop Private label brands,Earn 15 Shoppers Shop Points on all other Shoppers Stop brands,Earn 5 Shoppers Shop Points on all other spends,
18,Diners Club Privilege Credit Card,"Complimentary Annual memberships of Amazon Prime,  Swiggy One, MMT BLACK,  Times Prime","Complimentary Ola | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 40,000 every month",4 Reward Points for every Rs 150 spent,Upto 10X RP on spends via SmartBuy,Complimentary Golf games across the finest courses in the world,12 complimentary Airport Lounge Access worldwide
19,Paytm HDFC Bank Credit Card.,Upto 3% Unlimited Cashback everytime,Paytm First Membership - Upto 75k worth benefits,Earn upto Rs. 1200 Cashback annually,Upto 50 days of credit free period,,
20,Paytm HDFC Bank Select Credit Card,Upto 5% Unlimited Cashback everytime,Paytm First Membership - Upto 75k worth benefits,8 Complimentary Airport Lounge Access,Gift Vouchers worth Rs.500 every Calendar Quarter,,
21,Paytm HDFC Bank Mobile Credit Card,Upto 2% Unlimited Cashback everytime,Upgrade to Paytm HDFC Bank Credit Card in 3 months,Customize your card the way you like,Instant issuance/ virtual credit card,,
22,Regalia First Credit Card,Exclusive dining privileges with up to 15% discount at partner restaurants,4 Reward Points for every ₹ 150 spent,Complimentary Priority Pass Membership for free access to over 1000 lounges globally,,,
23,Diners ClubMiles Credit Card,Get up to 6 complimentary access to 1000+ lounges worldwide annually,Redeem Reward Points for bookings across 150+ airlines and a wide range of hotels,Get air accident cover of ₹1 crore,,,
24,Paytm HDFC Bank Digital Credit Card,Upto 2% Accelerated Cashback on Scan & Pay,Upto 2% Cashback on Swiggy & Uber spends,Customize your card the way you like,Instant issuance/ virtual credit card,,
25,Regalia Credit Card,4 Reward Points for every Rs 150 spent,"Earn Bonus 15,000 Reward Points on spends of Rs 8 Lakhs in an anniversary year",12 complimentary domestic lounge access,6 complimentary international lounge access using Priority Pass,,
